"","Lessives.LVLb","Deodorants.ICOS1","EauDeToilette.ICOS2","ProdSoinCheveux.ICOS3","ProdSoinVisage.ICOS4","VernisOngleDissolv.ICOS5","NbPieceAvecProduitsChim.NQ142","NettoyantDeSurface.QPE1b","AutreNettoyants.QPE2b","DesodoAreosolVaporisateur.QPD1b","DesodoAutreEnsens.QPD2b","InsecticideAerosol.QPP1b","InsecticidePoudreBlocGel.QPP2b","NettoySolAspiration.QME1b","NettoySolBalaiSerp.QME2b","NettoyAutreQueSol.QME3b","CuissonFourTraditionnel.CUI1b","CuissonALeau.CUI2b","CuissonALaVapeur.CUI3b","CuissonParFriture.CUI4b","CuissonParGrillade.CUI5b","VoitureDansGarage.DGG3n","Fumeurs.FUMEURn","SechageLingeDansLogement.LVSBn","UtiliseSecheLinge.LVS4n","NettASecVetements.QNS1","PersExtPourMenage.AMN1n","TapisDescenteLitNeuf.QTA1n","NettASecTapisTissusmeuble.QTARIn","Plantes.QPV","Chiens.ANI21n","Chats.ANI22n","TraitementParasitesAnimaux.ANTCPn","HamsterCochonLapin.ANI25n","InsecticideBlatteFourmie.ULn","SortirOrduresExterieur.QOM1","OrduresDansPiece.QOM2n","EndroitStockageOrdures.QOM4","Bricolage.TMG6n","Jardinage.TMG7n","ProtMatelSimple.LIMHO0","ProtMatelImperm.LIMHO13","ProtMatelAntiAcariens.LIMHO23","ProtMatel.LIMHO4","NPVe1","HPRF","HSRF","MATER2","NIACe1","NSQ41e1","NSQ31e1","TMM1e1","TMM2e1","TMM3e1","TMMB1e1","TMMB2e1","TMMB3e1","TRM0e1","TRM1e1","TRM2e1","TRM3e1","TRM4e1","TRM5e1","TRM7e1","TRP0e1","TRP1e1","TRP2e1","TRP3e1","TRP5e1","TRS1e1","TRS2e1","TRS3e1","TRS4e1","TRS5e1","TRS6e1","TRS8e1","ACTP1","CHEM1","DBRI","DCA3e1","DGG2be1","FC316","FC812","FC9be11","FC9be12347","FC9be156","HCU11","HCU31","HCU323","HCU34","HPLBO","KCC1be1089","KCC1be11","KCC1be1234","KCC1be1567","KCC1be1555","KCC267","KCC34","KCC5","KEIU1","KEIU2","KVNT2e111","KVNT2e13","KVNT2e14","MATER017","MATER02","MATER03","MATER04","MATER056","REAB1","REAB23","REAB4","Age","Revenus","Nb_Person","Nb_Enfants_inf_10","Nb_Enfants_sup_10","Sexe","Diplome_Max","Type_Prof","Occupation","Source_ppale_Res","Structure_menage","cluster.ind","Formldéhyde"
"207",7,21,21,7,17.5,0.5,2,1,0,0,0,0,0,0,7,1,3.5,7,0,3.5,0,"1","3","2","4","3","1","1","1","4","2","2","2","1","2","1","1","1","4","1","1","1","1","2",6,250,140,2,1989,1,0,1,0,0,0.33,0,0.67,0,0.83,0,0,0,0,0,0,0,0,0.83,0,0,0.5,0.5,0,0,0,0,1,"1","1","3","1","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","2","1","2","1","1","1","1","1","2","1","2","1","2",41,1799,5,0,3,"2","4","6","1","1","3",3,11.68
"208",7,7,7,4,10.5,0,1,1,0,0,0,1,0,3.5,3.5,1,0,7,3.5,1,0,"4","3","2","5","3","1","1","1","1","2","1","2","1","2","3","2","3","4","1","1","1","1","2",4,240,91,1,2002,1,1,1,0,0,0,0.5,0.5,0,0.25,0,0,0,0.75,0,0,0,0,1,0,0.25,0,0.5,0,0.25,0,0,1,"2","1","3","3","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","1","2","1","1","1","1","1","1",34,2349,4,2,0,"2","7","4","1","1","3",1,23.77
"209",7,14,14,0,3.5,0,1,3.5,0,0,7,0,0,3.5,3.5,0,3.5,3.5,0,3.5,0,"4","1","2","2","3","1","1","1","3","1","1","3","1","1","1","1","1","4","3","1","1","1","2",9,250,150,1,1914,1,0,0.73,0.27,0,0.22,0.22,0.56,0,0.89,0,0,0,0,0,0,0.22,0,0.22,0,0,0.56,0.44,0,0,0,0,1,"1","2","1","2","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","1","2","1","1","2","1","1","1","2","1","2",31,4249,5,3,0,"2","5","5","1","1","3",4,7.98
"210",7,14,7.5,7,14,0,2,1,1,3.5,0,0,0,3.5,1,0,0,3.5,0,0,0,"4","1","2","5","3","1","1","1","3","1","1","3","1","2","2","2","3","2","3","1","1","1","2",8,250,120,2,1974,1,1,0.57,0,0.43,0.38,0.13,0.38,0,0.75,0,0.13,0,0,0.13,0.13,0.13,0,0.38,0.13,0.13,0.38,0.38,0,0,0,0.13,1,"2","2","1","2","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","2","1","2","1","2",37,4249,4,0,0,"2","7","3","1","1","3",4,14.48
"211",7,10.5,17.5,3.5,3.5,3.5,1,3.5,0,7,0,0,0,3.5,3.5,3.5,3.5,1,0,1,0,"4","3","1","1","3","1","2","1","2","2","2","2","2","1","1","2","3","4","2","1","1","1","2",9,240,80,1,1981,1,0,0.88,0.13,0,0.11,0.22,0.67,0,0.67,0,0,0,0,0.33,0,0,0,0.56,0.44,0,0,0.44,0.56,0,0,0,1,"1","2","1","3","2","1","1","1","2","2","2","1","1","1","1","1","2","1","1","1","1","2","2","2","1","2","1","1","2","1","1","1","2","1","2",27,2349,5,2,0,"2","1","6","1","1","3",3,23.79
"212",3.5,14,10.5,7,8,7,1,1,0,3.5,0,0,0,1,1,0,3.5,3.5,1,0,0,"4","1","2","4","2","2","1","2","3","2","2","2","1","2","3","1","1","4","4","1","1","1","1",6,280,200,1,1948,1,2,1,0,0,0.67,0,0.33,0,0.67,0,0.17,0,0.17,0,0.17,0,0,0.67,0,0.5,0,0.5,0,0,0,0,1,"2","2","3","3","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","1","1","1","2","1","1","1","1","2","1",56,6449,2,0,0,"2","7","3","1","1","3",1,13.58
"213",7,7.5,0.5,3.5,0,0,1,1,0,0,3.5,0,0,7,1,0,3.5,7,1,3.5,0,"4","3","1","3","3","1","1","1","2","1","1","3","1","2","1","1","3","4","1","1","1","1","2",4,240,50,1,2002,3,0,1,0,0,0,0.5,0.5,0,0.75,0,0,0,0.25,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,1,"1","2","3","3","2","1","1","1","2","2","1","1","2","1","1","1","1","1","2","1","1","1","2","1","1","1","2","1","2","1","1","1","2","1","2",22,817,4,2,0,"2","4","6","2","4","3",3,15.71
"214",1.5,14,14,0,0,7,1,0,0,0,0,0,0,0,0,0,1,3.5,3.5,0,0,"4","1","2","5","3","1","1","1","2","1","2","2","1","1","2","2","1","2","1","1","1","1","1",6,280,93,1,1981,1,0,0,1,0,0.17,0.5,0.33,0,0.67,0,0,0,0.17,0.17,0,0,0,0,0,0,0,1,0,0,0,0,1,"1","1","3","2","1","1","1","2","1","2","2","1","1","1","1","1","2","1","1","2","1","1","2","1","1","2","1","1","1","2","1","1","2","1","2",42,817,2,0,1,"2","4","5","1","1","2",2,17.34
"215",3.5,0,14,7.5,8,1.5,0,1,0,0,0,0,0,1,1,0,1,7,7,0,0,"4","1","2","3","3","1","1","2","2","1","2","2","1","2","1","2","2","1","2","1","1","1","2",5,257,90,2,1914,1,1,1,0,0,0.8,0,0.2,0,0.8,0,0,0,0.2,0,0,0,0,0.2,0,0,0.4,0.6,0,0,0,0,1,"2","2","3","3","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","2","1",50,1299,2,0,0,"2","4","5","1","3","3",1,25.21
"216",7,17.5,10.5,7.5,21,0,1,3.5,0,3.5,0,0,0,3.5,3.5,0,1,3.5,0,1,0,"4","2","2","1","3","2","1","1","2","2","1","1","1","1","1","2","3","1","2","1","1","1","2",6,250,90,1,1961,1,0,0.17,0.83,0,0,0.33,0.67,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,1,"1","2","1","2","2","1","1","2","1","2","1","1","2","1","1","1","2","1","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","2","1",47,817,3,0,2,"2","4","6","1","1","2",2,23.38
