"","Lessives.LVLb","Deodorants.ICOS1","EauDeToilette.ICOS2","ProdSoinCheveux.ICOS3","ProdSoinVisage.ICOS4","VernisOngleDissolv.ICOS5","NbPieceAvecProduitsChim.NQ142","NettoyantDeSurface.QPE1b","AutreNettoyants.QPE2b","DesodoAreosolVaporisateur.QPD1b","DesodoAutreEnsens.QPD2b","InsecticideAerosol.QPP1b","InsecticidePoudreBlocGel.QPP2b","NettoySolAspiration.QME1b","NettoySolBalaiSerp.QME2b","NettoyAutreQueSol.QME3b","CuissonFourTraditionnel.CUI1b","CuissonALeau.CUI2b","CuissonALaVapeur.CUI3b","CuissonParFriture.CUI4b","CuissonParGrillade.CUI5b","VoitureDansGarage.DGG3n","Fumeurs.FUMEURn","SechageLingeDansLogement.LVSBn","UtiliseSecheLinge.LVS4n","NettASecVetements.QNS1","PersExtPourMenage.AMN1n","TapisDescenteLitNeuf.QTA1n","NettASecTapisTissusmeuble.QTARIn","Plantes.QPV","Chiens.ANI21n","Chats.ANI22n","TraitementParasitesAnimaux.ANTCPn","HamsterCochonLapin.ANI25n","InsecticideBlatteFourmie.ULn","SortirOrduresExterieur.QOM1","OrduresDansPiece.QOM2n","EndroitStockageOrdures.QOM4","Bricolage.TMG6n","Jardinage.TMG7n","ProtMatelSimple.LIMHO0","ProtMatelImperm.LIMHO13","ProtMatelAntiAcariens.LIMHO23","ProtMatel.LIMHO4","NPVe1","HPRF","HSRF","MATER2","NIACe1","NSQ41e1","NSQ31e1","TMM1e1","TMM2e1","TMM3e1","TMMB1e1","TMMB2e1","TMMB3e1","TRM0e1","TRM1e1","TRM2e1","TRM3e1","TRM4e1","TRM5e1","TRM7e1","TRP0e1","TRP1e1","TRP2e1","TRP3e1","TRP5e1","TRS1e1","TRS2e1","TRS3e1","TRS4e1","TRS5e1","TRS6e1","TRS8e1","ACTP1","CHEM1","DBRI","DCA3e1","DGG2be1","FC316","FC812","FC9be11","FC9be12347","FC9be156","HCU11","HCU31","HCU323","HCU34","HPLBO","KCC1be1089","KCC1be11","KCC1be1234","KCC1be1567","KCC1be1555","KCC267","KCC34","KCC5","KEIU1","KEIU2","KVNT2e111","KVNT2e13","KVNT2e14","MATER017","MATER02","MATER03","MATER04","MATER056","REAB1","REAB23","REAB4","Age","Revenus","Nb_Person","Nb_Enfants_inf_10","Nb_Enfants_sup_10","Sexe","Diplome_Max","Type_Prof","Occupation","Source_ppale_Res","Structure_menage","cluster.ind","Formldéhyde"
"217",1.5,0,0,3.5,3.5,0,1,3.5,0,0,1,1,0,0,3.5,3.5,3.5,3.5,3.5,1,3.5,"4","1","2","5","3","2","1","1","3","2","1","2","1","1","2","2","3","1","4","1","1","1","2",8,240,90,1,1967,1,0,0.17,0.83,0,0.13,0.13,0.75,0,0.88,0,0.13,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,1,"1","2","1","2","2","2","1","1","1","2","1","1","2","1","1","2","1","1","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","2","1",81,817,1,0,0,"1","1","5","4","3","1",1,14.29
"218",7,14.5,8,0,0,1.5,2,3.5,0,3.5,0,0,0,7,3.5,1,1,7,1,3.5,0,"4","1","2","1","3","1","1","1","3","2","1","2","1","2","1","2","3","1","1","1","1","1","2",6,250,100,1,1995,1,0,0,1,0,0.17,0.5,0.33,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"1","3","3","3","1","1","2","1","1","2","1","1","2","1","1","1","2","1","1","1","1","2","2","2","2","1","1","1","1","2","1","1","1","1","1",31,1299,5,2,1,"2","5","6","1","1","3",2,24.14
"219",1.5,0,7,7,7,0,1,0,0,1,0,0,0,0,7,0,3.5,7,0,3.5,0,"4","1","1","5","3","1","1","1","3","2","1","1","1","1","1","1","3","1","1","1","1","1","2",3,250,63,1,1948,1,0,0.67,0.33,0,0.33,0.67,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"1","3","2","3","1","2","1","1","1","2","2","1","1","1","1","1","2","1","1","2","1","1","1","2","1","2","1","1","2","1","1","1","2","1","2",68,535,1,0,0,"1","6","2","4","3","1",2,27.96
"220",3.5,0,14,0,7,3.5,1,1,0,0,14,0,0,1,3.5,1,0,3.5,0,0,0,"4","1","2","2","3","2","1","2","2","1","1","3","1","1","1","1","3","3","2","1","1","2","1",6,250,55,1,1967,2,0,1,0,0,0.17,0.17,0.5,0,0.83,0,0,0,0,0.17,0.83,0,0,0,0.17,0.17,0,0.67,0,0,0,0.17,1,"1","2","2","2","2","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","2","1","1","2","1","2","1","1","2","1","1","1","1","1","1",69,2899,2,0,0,"2","5","4","4","3","3",1,30.2
"221",3.5,14,8,10.5,10.5,7,1,1,1,0,0,0,0,1,0,0,3.5,7,0,0,3.5,"4","2","2","2","3","1","2","1","3","2","1","2","1","1","2","2","3","2","1","1","1","2","1",5,240,110,2,1995,2,0,0,1,0,0.2,0.6,0.2,0,0.2,0,0,0,0.8,0,0,0,0,1,0,0,0,0.2,0.2,0.6,0,0,1,"1","3","2","2","1","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","1","1","2","1","1","1","1","1",26,2899,3,1,0,"2","5","4","1","1","3",2,32.5
"222",3.5,14,14,2,8,7,3,1,0,1,0,1,0,1,1,0,3.5,3.5,3.5,0,0,"4","1","1","2","3","1","1","1","4","1","2","1","1","2","2","2","1","2","1","1","1","1","1",14,320,350,1,1961,0,1,0,1,0,0.07,0.36,0.57,0,0.71,0.07,0,0,0.14,0,0,0,0,0.86,0,0,0.14,0.29,0.57,0,0,0,1,"2","1","1","2","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","2","1","1","1","2","1","1","1","1","2","1",54,7600,4,0,2,"2","9","3","1","1","3",1,20.04
"223",7,17.5,24.5,7,7,7,1,3.5,1,0,0,0,0,0,3.5,0,3.5,3.5,1,3.5,0,"4","3","2","5","2","1","1","1","4","2","1","2","1","1","1","2","1","4","4","1","1","1","2",6,250,90,1,1914,1,1,1,0,0,0.5,0,0.5,0,0.67,0,0,0.17,0.17,0,0.33,0,0,0,0,0,0.33,0.67,0,0,0,0,1,"2","1","1","2","2","2","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","2","1","2","1","1","2","1","2","1","1","1","2","1","2",52,4249,4,0,1,"2","4","6","1","1","3",1,20.98
"224",3.5,0,14,7,14,7,2,3.5,0,0,0,3.5,0,1,3.5,0,3.5,7,1,0,1,"2","1","2","5","3","1","1","1","3","2","1","2","1","1","2","2","1","1","2","1","1","1","2",9,250,135,1,1981,1,1,0.17,0.58,0.25,0.44,0,0.44,0,0.89,0,0,0,0,0.11,0,0.44,0,0.44,0.11,0.11,0,0.56,0,0.33,0,0,1,"2","3","1","1","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","1","1","2","1","1","1","2","1",79,2349,2,0,0,"2","2","5","4","3","3",1,5.5
"225",7,10.5,11,14,7.5,7,1,3.5,0,0,0,7,0,0,3.5,3.5,0,3.5,1,0,0,"4","1","2","5","3","1","2","1","3","2","2","2","1","2","1","2","1","5","4","2","2","1","1",6,278,165,1,1948,1,1,1,0,0,0.33,0.33,0.33,0,0.83,0,0,0,0.17,0,0,0,0,0.17,0,0.17,0,0.5,0,0.33,0,0,1,"2","2","3","2","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","1","2","1","1","1","1","2","1",44,4249,3,0,1,"2","1","6","1","1","3",1,26.39
"226",7,0,10.5,0.5,7,1,2,0,3.5,3.5,3.5,0,0,3.5,3.5,0,1,0,1,0,0,"4","4","2","5","3","1","2","1","2","1","2","1","2","2","2","2","3","1","1","1","1","1","1",10,280,140,1,1989,3,0,0.79,0.14,0.07,0.1,0.2,0.4,0,0.4,0,0,0.1,0.2,0.3,0,0.1,0,0.6,0.3,0.1,0,0.3,0.5,0,0,0.1,1,"1","3","1","3","2","1","1","1","2","2","2","1","1","1","1","2","1","1","1","1","1","2","2","2","1","1","2","1","2","1","1","1","2","1","2",38,2349,5,2,0,"2","1","6","1","1","3",3,25.51
"227",7,28,28,17.5,21,0,2,7,1,3.5,0,0,0,3.5,3.5,1,1,3.5,3.5,1,0,"4","2","2","5","3","1","1","1","3","2","1","2","1","1","2","2","1","4","1","1","1","1","2",9,265,200,1,1948,1,1,1,0,0,0.22,0.33,0.44,0,0.67,0.11,0.11,0,0.11,0,0.11,0.22,0,0.33,0,0.56,0,0.44,0,0,0,0,1,"2","2","3","2","2","2","1","1","1","2","1","2","1","1","1","2","1","1","1","1","1","2","2","2","1","1","2","1","2","1","1","1","1","2","1",46,2899,4,0,2,"2","4","6","1","1","3",1,5.85
"228",7,14,14,14,14,1,1,3.5,0,0,0,0,0,3.5,3.5,0,3.5,7,7,0,0,"4","1","2","3","3","1","1","1","3","1","1","3","1","1","1","2","3","4","3","2","2","1","1",7,270,150,1,1948,0,1,0.36,0.64,0,0.29,0,0.71,0,0.71,0,0,0,0.29,0,0,0.14,0,0.86,0,0,0,0.43,0,0.57,0,0,1,"2","2","3","2","2","2","1","1","1","2","1","2","1","1","1","2","1","1","1","1","1","2","2","2","1","1","1","1","2","1","1","1","2","1","2",39,2899,5,2,0,"2","7","1","1","1","3",1,29.41
"229",7,11.5,4.5,7,3.5,3.5,2,1,0,1,0,0,0,1,1,1,3.5,3.5,0,3.5,0,"4","4","2","2","3","1","1","1","3","1","2","1","1","1","1","2","3","2","1","1","1","1","1",10,280,246,1,1871,1,2,0,0.73,0.27,0.5,0.3,0.2,0.2,0.6,0.1,0.1,0,0,0,0,0.4,0,0.4,0.2,0.5,0,0.5,0,0,0,0,2,"2","2","1","3","2","2","1","1","1","2","1","2","1","1","1","1","1","1","2","1","1","1","1","2","1","2","1","1","2","1","1","1","1","2","1",57,2899,3,0,1,"2","4","2","1","2","3",3,2.93
"230",7,24.5,24.5,0,7,0,3,3.5,0,3.5,0,0,0,1,3.5,0,7,3.5,3.5,1,3.5,"4","1","2","1","2","1","1","1","4","2","2","1","1","1","1","1","3","2","4","1","1","1","2",10,250,150,3,1948,1,0,0.42,0.58,0,0.1,0.2,0.6,0,0.6,0,0,0,0.3,0.1,0,0,0,0.9,0.1,0,0.4,0.5,0,0,0,0.1,1,"1","2","1","3","2","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","2","1","1","2","2","1","1","1","2","1","1","1","2","1","2",44,1799,5,1,2,"2","2","6","2","1","3",3,35.13
"231",7,7,14,3.5,7,3.5,1,0,0,0,0,0,0,1,3.5,0,3.5,3.5,0,1,0,"3","3","1","3","3","1","1","1","2","2","2","2","1","1","2","2","1","3","1","1","1","1","2",4,220,60,1,1961,1,1,0.78,0.22,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0.75,0.25,0,0,0.75,0,0,0,0.25,1,"1","1","3","1","2","2","1","1","1","2","1","2","1","1","1","2","1","1","1","1","1","2","2","2","1","1","2","1","2","1","1","1","2","1","2",31,2899,4,2,0,"2","4","6","1","1","3",1,30.17
